lingwa de planeta,inglish,ruski,worda tip,surse
hima , (kwo) winter,"зима; hima geimes зимние игры; char seson es hima, vesna, saif e oton четыре сезона - это зима, весна, лето и осень",kwo,
hima (saif) geimes , (kwo) winter (summer) games,,kwo,
hima geimes , the winter games,,,Hindi
hima sportas , winter sports,,,
Himalaya , (kwo) Himalayas,Гималаи,kwo,
himna , (kwo) hymn,гимн,kwo,
hina , (kwo) henna,хна,kwo,Arabic
hindi ," (kwel, kwo) Indian (relating to Indians [of India], their language and country); Indian (person of Indian ethnicity); Hindi",индиец; индийский; хинди,kwo-kwel,
Hindike Osean , (kwo) Indian Ocean,Индийский океан,kwo,
hipodrom , (kwo) hippodrome,ипподром,kwo,
hipopo , (kwo) hippopotamus,бегемот,kwo,
hipotesa , (kwo) hypothesis,гипотеза,kwo,
hir , (loko-komo) here,здесь; сюда (тж. ahir); hir-ney здешний,loko-komo,
hir bu darfi fumi , smoking is not allowed here,,exampla-ney frasa,
Hir es hao. , It's good here.,,,
Hir treba turni a desna. , Here one should turn right.,,,
Hir treba turni a lefta. , Here one should turn left.,,,
Hir ye mucho flor. , There is a lot of flowers here.,,,
hir-ney ," (kwel) of this place, local",,kwel,
hiran , (kwo) deer,олень,kwo,
hiranmasu , (kwo) venison,,kwo,Hindi
hirurgia , (kwo) surgery,хирургия; hirurgier хирург; hirurgike хирургический,kwo,
hirurgier , (kwo) surger,,kwo,
hirurgike , (kwel) surgical,,kwel,
"hisa, hising ", (kwo) hissing,,kwo,
hisi , (zwo) hiss,шипеть; hising шипение,zwo,
histeria , (kwo) hysteria,"истерия; histerike истеричный, истерический",kwo,
histerike , (kwel) hysterical,,kwel,
histo ," (kwo) tissue (anat., biol.)",ткань (биол.),kwo,Greek
historia , (kwo) history (the aggregate of past events; science; record or narrative description),"история (наука; событие, происшествие; рассказ); historike исторический; historier историк",kwo,
historier , (kwo) historian,,kwo,Swahili
historike , (kwel) historic,,kwel,
hitin , (kwo) chitin,хитин,kwo,
hiton , (kwo) chiton,хитон,kwo,
hm ," (exklami) hm, ahem","гм, хм (междометие)",exklami-partikla,
Ho-Chi-Min , (kwo) Ho Chi Minh City,Хошимин (город),kwo,
hobi , (kwo) hobby (activity that one enjoys doing in one's spare time),хобби,kwo,Serbo-Croatian
hok , (kwo) hawk (predatory bird),ястреб,kwo,Bislama
hokey , (kwo) hockey,"хоккей; hokey pleier, hokeista — хоккеист",kwo,
"hokey pleier, hokeista ", (kwo) hockey player,,kwo,
hole , (kwel) hollow (having an empty space or cavity inside),"полый; впалый; holika полость, выемка; впадина; holisi выдалбливать, делать полым; holifi становиться полым/впалым: holifi-ney wangas ввалившиеся щёки",kwel,
holera , (kwo) cholera,холера,kwo,
holifi , (zwo) become hollow,,zwo,
holika , (kwo) hollow,,kwo,
holisi , (zwo) hollow (out),,zwo,
holmyum , (kwo) holmium (chem.),гольмий (хим.),kwo,
hom ," (kwo) home (habitual abode, birthplace, native land, asylum) Syn.: dom",родной дом; родина; приют,kwo,
Honduras , (kwo) Honduras,Гондурас,kwo,
honeste ," (kwel) honest (fair and straightforward in conduct, thought, etc., free from deceit or fraud, upright)",честный; порядочный,kwel,
Hong Kong , (kwo) Hong Kong,Гонконг,kwo,
honor , (kwo) honour,"честь, почёт; pa honor de в честь; yu fai gro-honor a nu вы оказываете нам большую честь; honor-ney почётный; nohonor позор",kwo,
honor-ney ," (kwel) honorary (guard, etc.)",,kwel,
Honsyu , (kwo) Honshu,Хонсю (остров),kwo,
hopak , (kwo) hopak (Ukrainian folk dance),гопак,kwo,
hor ," (kwo) choir, chorus",хор,kwo,
horal , (kwo) choral,хорал,kwo,
horisonta , (kwo) horizon,горизонт; horisontale горизонтальный; horisontala горизонталь,kwo,
horisontala , (kwo) horizontal (line),,kwo,
horisontale , (kwel) horizontal,,kwel,
hormon , (kwo) hormone,гормон,kwo,
horoskop , (kwo) horoscope,гороскоп,kwo,
hospital , (kwo) hospital,больница,kwo,
hospital nana , hospital nurse,,,
hosta , (kwo) host,"хозяин (принимающий гостя); hosti принимать гостей, давать приют; hostina хозяйка (гостиницы и т.п.)",kwo,
hostel , (kwo) hostel (lodging house),общежитие,kwo,
hosti , (zwo) host,,zwo,
hostina , (kwo) hostess,,kwo,
hotel ," (kwo) hotel, inn",гостиница,kwo,
hovi , (zwo) hover (float in the air),"парить, реять",zwo,English
Hrvatska , (kwo) Croatia,Хорватия,kwo,
hu , (kwesti) who,кто; hu-ney чей,,
Hu lai? , Who comes?,,,
Hu zwo-te se? , Who did it?,,,
hu-ney , whose,,,Bislama
Hu-ney fon zai baji? , Whose phone is ringing?,,exampla-ney frasa,
Hu-ney fon zai baji? , Whose phone is ringing?,,,
hu-yuan , (grammar term) subject (part of a clause),"(грамм. термин) член предложения, обозначающий субъект; подлежащее",,
huanmi , (kwo) millet,"пшено, просо",kwo,Mandarin
Hudson-ney halich , (kwo) Hudson Bay,Гудзонов залив,kwo,
huf , (kwo) hoof,копыто,kwo,
huk , (kwo) hook,крюк; крючок,kwo,
huki ," (zwo) hook (catch, suspend, or connect with a hook) See also: ahuki",,zwo,
huligan , (kwo) hooligan,хулиган; huligani хулиганить; huliganing хулиганство,kwo,
huligani ," (zwo) behave like a hooligan, engage in hooliganism",,zwo,
huliganing , (kwo) hooliganism,,kwo,English
humane , (kwel) humane,"гуманный, человечный; humanitaa гуманность",kwel,
humanisma , (kwo) humanism (system of thought),,kwo,
humanista , (kwo) humanist,гуманист; humanistike гуманистический; humanisma гуманизм,kwo,
humanistike ," (kwel) humanistic, humanist",,kwel,
humanitaa ," (kwo) humaneness, humanity (the quality of being humane, benevolence ",,kwo,
humel , (kwo) hop (plant),хмель,kwo,
humide ," (kwel) humid, damp, moist",влажный; humiditaa влажность,kwel,
humiditaa ," (kwo) humidity, dampness Syn.: mokre",,kwo,
hunga , (kwo) hunger,"голод; hunga-ney (hunge) голодный; hunga-nem (hungem) оголодав; нетерпеливо, жадно, с жадностью, как голодный; fai hunga, sta hunge быть голодным; hungi голодать; defai hunga утолять голод; hunging голодание; al haf-hungi впроголодь",kwo,
hunga-nem (hungem) , (komo) hungrily,,komo,
hunga-ney (hunge) , (kwel) hungry,,kwel,
hungi ," (zwo) hunger, starve",,zwo,
hunta ," (kwo) joining, junction",,kwo,
hunta-ney (hunte) ," (kwel) joint, combined",,kwel,
hunti , (zwo) join; come together; pool,"соединять(ся) вместе, присоединять(ся); hunta соединение; место соединения, узел; ferdao-hunta — железнодорожный узел; suti-hunti сшить (соединить швом); hunta-ney (hunte) совместный; pa hunta, hunta-nem (huntem) вместе; hunti a koywan присоединиться к кому-л.",zwo,
hunti a koywan , to join smb,,,
huraa ," (exklami) hurrah, hurray",ура! (cм. тж. jay-jay),exklami-partikla,
Huron-lak , (kwo) Lake Huron,озеро Гурон,kwo,
husar , (kwo) hussar,гусар,kwo,
huta , (kwo) hut (crude or makeshift dwelling or shelter; a shack),"хижина; халупа, хибарка",kwo,
hwan , (kwel) yellow,жёлтый; hwanka желток,kwel,
hwan lif floti nich fluisa , yellow leaves floated down,,,
Hwan-riva , (kwo) Yellow River,Хуанхэ (река),kwo,
hwanka , (kwo) yolk,,kwo,Mandarin
hwei ," (zwo) repent, rue","каяться, покаяться, раскаяться; hweisa покаяние, раскаяние",zwo,
hweisa ," (kwo) repentance, penitence",,kwo,Mandarin
i,"(komo) too, also (relates to the following word)","1) и, тоже (ставится перед словом, к которому относится). I me koni lu. - И я знаком с ним. Me koni i ela. - Я знаком и с ней.  i… i - «и... и, как…так и»: i lu i ela – и он, и она; i sey-las i toy-las – и те, и эти; 2) название буквы ""I i""",,
i,2) the name of the letter I i,"1) и, тоже (ставится перед словом, к которому относится). I me koni lu. - И я знаком с ним. Me koni i ela. - Я знаком и с ней.  i… i - «и... и, как…так и»: i lu i ela – и он, и она; i sey-las i toy-las – и те, и эти; 2) название буквы ""I i""",,
i , 1) (unisi) i...i... ,"1) и, тоже (ставится перед словом, к которому относится). I me koni lu. - И я знаком с ним. Me koni i ela. - Я знаком и с ней.  i… i - «и... и, как…так и»: i lu i ela – и он, и она; i sey-las i toy-las – и те, и эти; 2) название буквы ""I i""",unisi,
i lu i ela , both he and she,,,
I me koni lu. , I too know him.,,,
i sey-las i toy-las , these as well as those,,,
idea , (kwo) idea,идея; замысел; idea-ney идейный,kwo,
idea-ney ," (kwel) of idea, conceptual",,kwel,Greek
ideal , (kwo) ideal,идеал; ideal-ney идеальный; idealisma идеализм; idealista идеалист,kwo,
ideal-ney , (kwel) ideal,,kwel,
idealisma , (kwo) idealism,,kwo,
idealista , (kwo) idealist,,kwo,Indonesian
idente , (kwel) identical,"идентичный, тождественный; identitaa идентичность, тождественность; identisi отождествить, идентифицировать; identifi отождествиться, идентифицироваться",kwel,
identifi , (zwo) identify (intr.),,zwo,
identisi , (zwo) identify (tr.),,zwo,
identitaa ," (kwo) identity, sameness",,kwo,
ideologia , (kwo) ideology,идеология; ideologike идеологический,kwo,
ideologike , (kwel) ideological,,kwel,
idioma , (kwo) idiom (idiomatic expression),идиома,kwo,
idiota , (kwo) idiot,идиот,kwo,Polish
idola , (kwo) idol (also fig.),"идол, кумир",kwo,
idyen ," (komo) a little, a bit","немножко, немного, чуть-чуть: kan uupar idyen посмотри(те) чуть выше; dai a me idyen akwa дай мне немножко воды; idyenka капелька, крошечка, чутелька; мазок",komo,
idyen (kelkem) ofni-ney , ajar,,,
idyen pyu hao , a bit better,,,
igla , (kwo) needle,"игла (в разн.знач.), иголка; стрелка (прибора); igla-oko игольное ушко",kwo,
igla nok , needle point,,,
igla-oko , (kwo) needle eye,,kwo,Slavic
ignori ," (zwo) ignore, disregard","игнорировать, пренебрегать, не придавать значения",zwo,
igo , (kwo) yoke (also fig.),"ярмо, хомут; иго, гнёт",kwo,Serbian
iguana , (kwo) iguana,игуана,kwo,
Iguasu ," (kwo) ""Iguazu River",Игуасу (река); Iguasu-akwalwo водопады Игуасу,kwo,
Iguasu-akwalwo , (kwo) Iguazu Falls,,kwo,
ikona , (kwo) icon,икона; иконка (комп.),kwo,
ikra , (kwo) calf (of leg),икра (часть ноги),kwo,Russian
iks , the name of the letter X x,"название буквы ""X x""",,
il , (kwo) silt,,kwo,Russian
ilusion ," (kwo) illusion, delusion",иллюзия; fai ilusion om koysa строить иллюзии насчёт чего-л.; defai ilusion (desilusioni) разочароваться; desilusiona разочарование,kwo,
